Count,Site ID number,Parameter,Start date,Start time,End date,End time,Sampling Strategy,Model Iterations,subsamples,percent culled,Mean ,SD of Mean (column L),5th Percentile,10th Percentile,20th Percentile,30th Percentile,40th Percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,Mean Abs diff of mean,SD of abs diff of mean,Mean Abs diff of 5th percentile,Abs diff 10th,Abs diff 20th,Abs diff 30th,Abs diff 40th,Abs diff 50th,Abs diff 60th,Abs diff 70th,Abs diff 80th,Abs diff 90th,Abs diff 95th,Rel diff mean,SD of rel diff of mean,Rel diff 5th,Rel diff 10th,Rel diff 20th,Rel diff 30th,Rel diff 40th,Rel diff 50th,Rel diff 60th,Rel diff 70th,Rel diff 80th,Rel diff 90th,Rel diff 95th,SD of abs diff of 5th,SD of abs diff of 10th,SD of abs diff of 20th,SD of abs diff of 30th,SD of abs diff of 40th,SD of abs diff of 50th,SD of abs diff of 60th,SD of abs diff of 70th,SD of abs diff of 80th,SD of abs diff of 90th,SD of abs diff of 95th,SD of rel diff of 5th,SD of rel diff of 10th,SD of rel diff of 20th,SD of rel diff of 30th,SD of rel diff of 40th,SD of rel diff of 50th,SD of rel diff of 60th,SD of rel diff of 70th,SD of rel diff of 80th,SD of rel diff of 90th,SD of rel diff of 95th
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,15,perc culled,-0.056326291029760035,0.0,-1.1098,-0.9488,-0.7913,-0.6093,-0.3302,-0.1275,0.1168,0.3738,0.5837,1.0427,1.3256,0.034008488018217965,0.0,-0.4602,-0.3759,-0.1607,-0.0728,-0.0064,0.0364,0.0955,0.1847,0.2426,0.3834,0.4518,0.8048109569025254,0.0,-115.1981,-55.6321,-22.8947,-7.1489,6.208,17.6881,29.8148,37.8978,54.5806,70.8916,121.9689,0.1385,0.1435,0.2077,0.2052,0.2146,0.2311,0.2374,0.2983,0.3032,0.3402,0.3594,78.3675,48.2393,21.5198,15.2039,9.9905,10.045,16.034,20.8441,28.8606,41.0472,83.0371
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,20,perc culled,-0.056326291029760035,0.0,-1.5294,-1.258,-0.7286,-0.4792,-0.2758,-0.0171,0.2138,0.4323,0.6661,1.1171,1.2665,0.034008488018217965,0.0,-0.2917,-0.2384,-0.1385,-0.0779,-0.0291,0.0295,0.0887,0.1506,0.2084,0.3152,0.3862,0.8048109569025254,0.0,-109.5929,-60.7285,-22.1028,-4.2179,2.4204,6.3168,20.4085,34.0369,52.6496,76.5791,153.084,0.2109,0.1987,0.2153,0.2366,0.2386,0.2167,0.2415,0.2442,0.2212,0.2887,0.3033,81.5305,41.0006,27.2061,14.5774,13.8989,13.4657,18.159,22.2495,29.9335,43.8463,109.9354
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,25,perc culled,-0.056326291029760035,0.0,-1.5684,-1.1402,-0.8309,-0.5267,-0.2858,-0.0528,0.1876,0.4294,0.7044,1.2454,1.4036,0.034008488018217965,0.0,-0.3169,-0.2697,-0.1889,-0.1347,-0.0907,-0.0389,0.0775,0.1694,0.2502,0.3608,0.4263,0.8048109569025254,0.0,-103.8638,-58.0674,-34.1009,-12.2642,-3.9838,6.9424,22.2608,27.5315,41.183,64.2218,136.188,0.2412,0.2488,0.2517,0.2341,0.2268,0.2324,0.2049,0.2241,0.2567,0.2521,0.272,65.3292,40.0924,31.6037,19.7843,13.7123,16.2096,19.4964,19.1009,22.652,32.7089,95.9146
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,30,perc culled,-0.056326291029760035,0.0,-1.4736,-1.2243,-0.8383,-0.5594,-0.2884,-0.1082,0.1309,0.3288,0.6539,1.1311,1.4275,0.034008488018217965,0.0,-0.2364,-0.1925,-0.1186,-0.0522,0.0011,0.0665,0.103,0.1693,0.2453,0.3042,0.3533,0.8048109569025254,0.0,-87.9092,-43.4389,-20.5008,-3.8196,0.2757,7.2042,21.8926,27.2478,43.193,63.509,103.1505,0.1831,0.161,0.1425,0.1731,0.1628,0.2029,0.191,0.1943,0.2225,0.2372,0.2526,54.8851,37.4188,22.2227,13.1333,12.3672,13.2652,15.5856,16.9183,15.003,28.3894,43.5114
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,40,perc culled,-0.056326291029760035,0.0,-1.5617,-1.1584,-0.8305,-0.5613,-0.2843,-0.0979,0.0938,0.3742,0.7185,1.1763,1.387,0.034008488018217965,0.0,-0.1791,-0.135,-0.0689,-0.0307,0.0114,0.0522,0.1011,0.1434,0.1793,0.2385,0.2714,0.8048109569025254,0.0,-54.6282,-29.9897,-12.7001,-3.0274,1.4954,5.1882,20.0277,24.0228,32.5273,48.5887,81.3702,0.1757,0.1577,0.1417,0.1487,0.1573,0.1596,0.1897,0.1974,0.2057,0.2269,0.2308,68.2059,41.77,20.5827,13.7816,14.6149,14.0767,15.2756,14.213,19.8054,31.4653,45.7029
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,50,perc culled,-0.056326291029760035,0.0,-1.4945,-1.2337,-0.9002,-0.6398,-0.3594,-0.072,0.1978,0.455,0.7944,1.1886,1.5182,0.034008488018217965,0.0,-0.1843,-0.1406,-0.0693,-0.0292,-0.008,0.019,0.0453,0.0944,0.1752,0.2184,0.2577,0.8048109569025254,0.0,-92.6068,-62.965,-21.9624,-11.2209,-3.6264,2.691,10.7931,18.0367,26.0489,41.3434,86.6533,0.1926,0.1706,0.1624,0.1688,0.1676,0.1767,0.186,0.1841,0.192,0.1921,0.207,59.9265,38.8548,14.8402,14.255,11.4846,11.008,11.2932,15.9873,22.2797,27.7055,76.8023
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,5,perc culled,0.05511859581892804,0.0,-0.795,-0.6753,-0.4358,-0.2257,-0.0451,0.1355,0.2605,0.3854,0.5675,0.8068,0.9265,-0.0025954497048563258,0.0,-0.7248,-0.6032,-0.3651,-0.2755,-0.1312,0.0463,0.109,0.213,0.3876,0.5719,0.6333,5.913233061246747,0.0,-135.6424,-67.5721,-19.2463,12.6985,24.4383,41.5373,58.2502,65.5175,85.7041,124.8219,195.3216,0.4845,0.4552,0.3986,0.3933,0.3915,0.351,0.3673,0.3843,0.3732,0.4218,0.435,175.6141,97.3962,55.2676,40.9733,37.1255,37.3783,37.853,32.3499,37.6036,79.8832,156.144
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,10,perc culled,0.05511859581892804,0.0,-1.2254,-1.0961,-0.5545,-0.3243,-0.0924,0.1398,0.3332,0.543,0.8179,1.2034,1.3403,-0.0025954497048563258,0.0,-0.3834,-0.3062,-0.2223,-0.1449,-0.1076,-0.0231,0.0117,0.0454,0.1436,0.2877,0.3428,5.913233061246747,0.0,-83.0171,-47.5576,-24.5661,-2.8783,8.3691,13.1161,18.9459,26.129,39.4578,56.8245,102.8297,0.1917,0.1877,0.2113,0.214,0.2078,0.1827,0.1928,0.1975,0.1827,0.1392,0.1475,77.6914,49.6622,34.1187,22.014,16.4887,13.3901,15.434,15.5009,28.5097,38.932,52.8533
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,15,perc culled,0.05511859581892804,0.0,-1.3361,-0.9993,-0.5819,-0.3378,-0.1537,0.0568,0.2368,0.5471,0.7799,1.1537,1.345,-0.0025954497048563258,0.0,-0.3398,-0.2836,-0.1866,-0.1527,-0.0852,0.0022,0.0533,0.1281,0.2113,0.319,0.3527,5.913233061246747,0.0,-107.3346,-66.3227,-40.628,-18.7359,-5.9346,12.9382,26.8135,45.0303,57.5243,103.8726,166.6832,0.4008,0.3953,0.372,0.3706,0.3545,0.3082,0.3237,0.3261,0.2922,0.2967,0.2872,94.7412,63.5926,44.8322,27.52,27.0201,22.3339,24.1682,23.7248,28.1724,64.5238,114.9908
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,20,perc culled,0.05511859581892804,0.0,-1.122,-0.8366,-0.5468,-0.3214,-0.1978,0.0239,0.269,0.547,0.8397,1.0927,1.3441,-0.0025954497048563258,0.0,-0.4498,-0.3442,-0.2153,-0.1517,-0.1011,-0.0459,-0.0032,0.0597,0.1795,0.327,0.3961,5.913233061246747,0.0,-95.309,-62.6107,-27.5759,-2.494,10.2311,16.5153,25.8236,37.896,47.5901,89.5735,154.4587,0.1972,0.192,0.2179,0.2158,0.2243,0.2436,0.2441,0.2671,0.2474,0.2405,0.2509,73.3697,61.147,38.5998,22.0871,18.0289,18.2761,19.7117,25.7144,32.3287,51.4731,99.9285
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,25,perc culled,0.05511859581892804,0.0,-1.2285,-0.952,-0.4715,-0.3113,-0.0629,0.0823,0.2981,0.5639,0.9215,1.2761,1.5023,-0.0025954497048563258,0.0,-0.3758,-0.3149,-0.227,-0.1762,-0.1224,-0.0693,-0.0168,0.0209,0.0603,0.1551,0.1854,5.913233061246747,0.0,-55.4147,-27.8003,-9.8003,-3.0868,5.472,9.3972,14.7565,23.5386,39.9218,53.6076,110.6667,0.1706,0.1548,0.1386,0.1328,0.0926,0.096,0.126,0.1228,0.1266,0.1457,0.1596,38.9815,24.556,14.5081,13.9267,12.7002,13.403,14.4494,17.8727,31.3957,37.727,49.5916
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,30,perc culled,0.05511859581892804,0.0,-1.2864,-0.8876,-0.5324,-0.2177,-0.0033,0.1913,0.3566,0.64,1.0273,1.4031,1.628,-0.0025954497048563258,0.0,-0.4058,-0.3648,-0.2866,-0.2119,-0.1702,-0.1308,-0.1045,-0.0611,0.0049,0.0545,0.0797,5.913233061246747,0.0,-60.6109,-43.1579,-28.1715,-12.0537,-2.7198,1.5989,14.6487,20.6043,35.5343,55.4665,83.4496,0.2503,0.2335,0.19,0.1889,0.1641,0.1464,0.1453,0.1234,0.1337,0.1176,0.1164,34.5755,35.5854,31.2832,17.7972,11.2586,10.7718,23.3669,24.8828,30.2548,42.9084,54.9331
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,40,perc culled,0.05511859581892804,0.0,-1.5202,-1.1007,-0.6592,-0.4212,-0.2023,0.0165,0.203,0.4002,0.7505,1.2254,1.4113,-0.0025954497048563258,0.0,-0.1832,-0.1232,-0.0382,0.002,0.0235,0.065,0.0873,0.1143,0.1615,0.2278,0.277,5.913233061246747,0.0,-31.522,-22.0791,-10.7523,-0.6797,7.6345,15.4306,21.8727,27.7803,35.7852,53.2309,77.9642,0.1249,0.1321,0.1247,0.1306,0.1275,0.1451,0.1493,0.1482,0.1395,0.2181,0.2319,29.4411,21.9586,13.2321,9.7887,8.9255,17.2301,15.7112,15.2339,18.6811,31.3185,65.4708
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,50,perc culled,0.05511859581892804,0.0,-1.4708,-1.0715,-0.6932,-0.4555,-0.1566,0.0861,0.2824,0.5415,0.8663,1.2999,1.5066,-0.0025954497048563258,0.0,-0.2146,-0.1513,-0.096,-0.0546,-0.029,0.0159,0.0353,0.0772,0.0953,0.1274,0.1783,5.913233061246747,0.0,-59.3369,-38.445,-25.4587,-12.687,-6.2139,4.1925,12.1723,17.904,24.9907,37.9002,84.4097,0.2499,0.2316,0.1817,0.1773,0.1701,0.1448,0.1523,0.1532,0.162,0.1636,0.1513,30.3478,25.0719,20.3989,11.443,7.4522,13.7578,17.6657,20.1455,22.5631,30.2872,72.0692
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,5,perc culled,-0.035574423842972,0.0,-1.3686,-1.2538,-1.0243,-0.8185,-0.6364,-0.4543,-0.2316,-0.0089,0.287,0.656,0.8405,0.011549050154495238,0.0,-0.3267,-0.2036,0.0745,0.1752,0.2421,0.3102,0.4073,0.621,0.7067,0.843,0.8833,-20.87456212041692,0.0,-672.2719,-162.8817,-77.0421,-35.968,0.8581,16.141,48.3428,61.0044,88.0051,120.7224,225.3543,0.3914,0.3624,0.3628,0.3649,0.3416,0.38,0.3766,0.4356,0.4453,0.4924,0.4968,668.5361,157.1104,82.2773,51.6369,30.3165,23.3402,35.7103,31.7275,36.7353,55.2549,107.6076
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,10,perc culled,-0.035574423842972,0.0,-1.3001,-1.0583,-0.7674,-0.539,-0.3161,-0.098,0.2235,0.578,0.736,0.9827,1.3112,0.011549050154495238,0.0,-0.4414,-0.3745,-0.2458,-0.1623,-0.0655,0.0065,0.0608,0.1514,0.2226,0.3457,0.4001,-20.87456212041692,0.0,-269.1541,-60.9035,-24.7181,-13.0533,-5.9201,8.0206,25.4855,31.4891,38.0566,57.5736,178.2009,0.2931,0.2541,0.2065,0.191,0.2139,0.223,0.1891,0.2021,0.2303,0.2348,0.2468,170.5943,29.3491,25.3549,25.7699,22.7811,28.8931,29.0856,32.9891,31.2423,55.107,254.4457
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,15,perc culled,-0.035574423842972,0.0,-1.4561,-1.2125,-0.8874,-0.6303,-0.3973,-0.1243,0.2025,0.5183,0.8099,1.2183,1.4389,0.011549050154495238,0.0,-0.2859,-0.2228,-0.1563,-0.0937,-0.0396,0.0025,0.0452,0.1438,0.2,0.2663,0.3136,-20.87456212041692,0.0,-301.4882,-88.1654,-45.7285,-28.107,-4.1816,3.4569,11.3025,19.3322,31.8072,52.3336,163.7519,0.1743,0.1962,0.2089,0.2086,0.2211,0.2334,0.243,0.2115,0.1858,0.1953,0.1909,237.2157,59.8363,34.8707,26.3714,25.124,19.3425,15.3193,14.6469,21.725,33.7156,168.12
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,20,perc culled,-0.035574423842972,0.0,-1.7169,-1.3699,-1.0152,-0.6436,-0.4013,-0.1765,0.1954,0.4365,0.8232,1.1863,1.4148,0.011549050154495238,0.0,-0.2177,-0.172,-0.1092,-0.0427,0.0153,0.1131,0.1499,0.2014,0.2737,0.3274,0.3692,-20.87456212041692,0.0,-309.4669,-81.141,-51.3654,-30.2808,-14.658,-5.731,5.4192,13.5252,23.5456,51.0592,113.7113,0.2073,0.2,0.1891,0.1331,0.1532,0.142,0.1417,0.1417,0.1383,0.1483,0.1602,176.6822,47.9781,44.8101,28.7446,18.6141,13.8788,12.6047,9.2294,16.4119,31.4199,115.7158
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,25,perc culled,-0.035574423842972,0.0,-1.4943,-1.2256,-0.8057,-0.5025,-0.2837,-0.0226,0.2175,0.625,0.948,1.3446,1.652,0.011549050154495238,0.0,-0.3581,-0.3162,-0.2124,-0.1532,-0.1094,-0.0488,0.0058,0.0328,0.0891,0.1132,0.1486,-20.87456212041692,0.0,-169.6322,-41.4664,-27.2764,-17.9815,-11.5321,-6.8988,3.271,7.7244,24.6846,44.0426,176.1504,0.1875,0.1967,0.1689,0.1822,0.1754,0.1302,0.1217,0.1046,0.0909,0.089,0.1035,135.7018,20.208,13.3215,14.5019,14.3637,13.8416,8.5172,7.7494,19.8548,44.5987,211.0832
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,30,perc culled,-0.035574423842972,0.0,-1.6373,-1.3544,-0.8135,-0.4153,-0.2561,-0.0418,0.1687,0.4589,0.8271,1.0844,1.4707,0.011549050154495238,0.0,-0.3316,-0.2686,-0.168,-0.1029,-0.0503,0.0131,0.0827,0.1321,0.2115,0.3006,0.3454,-20.87456212041692,0.0,-207.2305,-54.2536,-28.5788,-11.8077,-4.4313,6.1885,14.3541,27.2205,45.0506,74.6395,207.4345,0.1423,0.1277,0.176,0.1895,0.2121,0.2259,0.2203,0.2217,0.2159,0.2383,0.2378,215.8453,44.3523,19.6353,15.137,17.1011,16.5589,18.0683,22.9496,34.7552,50.3705,184.0814
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,40,perc culled,-0.035574423842972,0.0,-1.6125,-1.1353,-0.6921,-0.4606,-0.2549,-0.0068,0.2375,0.5002,0.8416,1.212,1.6056,0.011549050154495238,0.0,-0.3465,-0.2787,-0.1747,-0.1231,-0.0909,-0.0423,0.0051,0.0425,0.1036,0.1411,0.1877,-20.87456212041692,0.0,-120.7223,-38.0534,-22.7283,-14.6748,-4.2916,4.1031,18.044,30.3528,39.0689,55.1212,143.4259,0.2181,0.1923,0.1697,0.1585,0.1636,0.161,0.1674,0.1729,0.2013,0.2213,0.2054,115.4563,32.8085,26.2948,24.1149,13.976,11.8013,13.5755,16.5542,20.4137,23.2491,97.3541
4,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,50,perc culled,-0.035574423842972,0.0,-1.6813,-1.3368,-0.8706,-0.5738,-0.3278,-0.1003,0.1969,0.5752,0.8681,1.2666,1.4943,0.011549050154495238,0.0,-0.2191,-0.1896,-0.1344,-0.076,-0.0237,0.0025,0.0675,0.1083,0.1529,0.1984,0.2341,-20.87456212041692,0.0,-177.8072,-55.3756,-26.455,-14.3274,-5.068,1.1324,4.283,8.518,12.6638,26.7714,72.6238,0.1693,0.1628,0.1524,0.139,0.1106,0.0985,0.0881,0.0985,0.1164,0.1201,0.1236,126.8708,30.4757,19.8654,18.182,15.3654,14.974,13.902,14.5597,12.7701,24.3934,85.8108
